Col_Name,Data_Type,Computed.question.name
ask_to_see_evidence_of_document,factor,ASK TO SEE EVIDENCE OF DOCUMENTED REFERRALS OUT
does_the_facility_use_a_pre_pri,factor,Does the facility use a pre-printed referral form when patients are referred elsewhere?
ask_to_see_a_copy_of_the_form,factor,ASK TO SEE A COPY OF THE FORM
does_the_facility_keep_records_,factor,Does the facility keep records of patients who are referred out?
ask_to_confirm_evidence_of_docu,factor,ASK TO CONFIRM EVIDENCE OF DOCUMENTED REFERRALS OUT
using_the_most_common_means_for,factor,"Using the most common means for transportation, how long does it take for a referred patient to go from your facility to the most commonly used next level?"
is_there_any_governance_committ,factor,Is there any governance committee/board in place for this facility?
do_the_members_of_the_committee,factor,Do the members of the committee/board meet regularly?
how_often_do_they_meet,factor,How often do they meet?
other_please_specify_frequency,character,Other: Please specify frequency
did_any_member_of_this_committe,factor,Did any member of this committee/board visit this facility in the last 3 months?
how_many_visits_were_made_durin,numeric,How many visits were made during the last 3 months?
does_this_facility_have_a_core_,factor,Does this facility have a core management team or a management committee/board that is responsible for oversight of the day-to-day functioning of the facility?
is_there_any_routine_system_in_,factor,Is there any routine system in place for including community representation for some aspects of the management team or committee/board work?
when_was_the_most_recent_manage,factor,When was the most recent management team or management committee/board meeting?
are_there_any_written_notes_or_,factor,Are there any written notes or minutes from the most recent management committee meeting?
ask_to_see_the_document,factor, ASK TO SEE THE DOCUMENT
reserved_name_for_field_list_labels_96,factor,reserved_name_for_field_list_labels_96
finance_issues,factor,Finance issues
staffing_issues,factor,Staffing issues
general_management,factor,General management
service_issues,factor,Service issues
patient_care_issues,factor,Patient care issues
supply_issues,factor,Supply issues
facility_performance,factor,Facility performance
at_the_facility_level_is_there_,factor,"At the facility level is there a routine process for reviewing data on facility services, outcomes, or patient feedback?"
reserved_name_for_field_list_labels_107,factor,reserved_name_for_field_list_labels_107
information_from_routine_hmis_r,factor,Information from routine HMIS reports
information_from_special_report,factor, Information from special reports such as quality indicators
any_tables_or_reports_that_pres,factor,Any tables or reports that present immunization data
any_table_or_reports_that_prese,factor, Any table or reports that present data other than for immunization?
any_graphic_presentation_of_imm,factor, Any graphic presentation of immunization data?
any_graphic_presentation_of_dat,factor, Any graphic presentation of data other than for immunization?
other_information_source_routin,character,Other information source routinely reviewed. Please specify
calc_other_information_source,factor,calc_other_information_source
other_specified_other_informati,factor,Other Specified other information source: __${other_information_source_routin}__
any_rou_review,character,Specify any other information source routinely reviewed?
oth_route_review,factor, ${any_rou_review} routinely reviewed
does_this_facility_monitor_any_,factor,Does this facility monitor any indicators for quality or coverage for services?
reserved_name_for_field_list_labels_123,factor,reserved_name_for_field_list_labels_123
pre_discharge_maternal_deaths,factor,Pre-discharge Maternal deaths
pre_discharge_maternal_deaths2,factor,Pre-discharge Maternal deaths by cause
neonatal_deaths_in_health_faci,factor,Neonatal deaths in health facilities by cause
institutional_stillbirth_rate,factor,Institutional stillbirth rate (disaggregated by fresh and macerated)
pre_discharge_neonatal_mortali,factor,Pre-discharge neonatal mortality rate
obstetric_case_fatality_rate_d,factor,Obstetric case fatality rate (disaggregated by direct and indirect when possible)
pre_discharge_counselling_for,factor,Pre-discharge counselling for mother and baby
companion_of_choice,factor,Companion of Choice
women_who_experienced_physical,factor,"Women who experienced physical or verbal abuse anytime during labour, childbirth, or postpartum period"
newborns_breastfed_within_one,factor,Newborns breastfed within one hour of birth
immediate_postpartum_uteronic,factor, Immediate postpartum Uteronic for PPH prevention
newborns_with_birthweight_docu,factor,Newborns with birthweight documented
premature_babies_initiating_km,factor, Premature babies initiating KMC
basic_hygiene_provision,factor,Basic Hygiene Provision
basic_sanitation_available_to,factor, Basic Sanitation available to women and families
chlorhexidine_gel_for_cord,factor,4% chlorhexidine gel for cord care
anc_x_4_coverage,factor,ANC x 4 coverage
contraceptive_prevalence_rate,factor, Contraceptive prevalence rate
delivery_by_skilled_provider,factor,Delivery by skilled provider
number_of_outpatient_visits,factor,Number of outpatient visits
iptp_services,factor,IPTp services
paediatric_curative_services,factor,Paediatric curative services
pregnant_women_tested_for_hiv,factor,Pregnant women tested for HIV
did_the_facility_receive_a_supe,factor, Did the facility receive a supervision visit from the SMOH- FMOH in the last fiscal year?
how_often_did_the_smoh_fmoh_sup,factor, How often did the SMOH-FMOH supervisor visit this facility in the last fiscal year?
other_please_specify,character, Other: Please specify
when_was_the_most_recent_visit_,factor,When was the most recent visit by the SMOH-FMOH?
during_the_most_recent_visit_by,factor," During the most recent visit by the SMOH-FMOH, did they use a checklist?"
did_they_leave_a_copy_of_the_ch,factor,Did they leave a copy of the checklist or any written comments related to their supervision observations?
ask_to_see_the_written_document,factor,ASK TO SEE THE WRITTEN DOCUMENT
does_this_facility_receive_any_,factor," Does this facility receive any external supervision, apart from the SMOH/FMOH?"
lga_level,factor,lga_level
donor,factor,donor
other,factor,other
other_sources_please_specify,character,other_sources_please_specify
please_specify_the_period_when__count,character,please_specify_the_period_when__count
funding_source_name,factor,funding_source_name
funding_source_label,factor,funding_source_label
reserved_name_for_field_list_labels_166,factor,reserved_name_for_field_list_labels_166
level_other_sources_please_sp,factor,Level: ${other_sources_please_specify}
level_funding_source_label,factor, Level: ${funding_source_label}
funding_source_name.1,factor,funding_source_name.1
funding_source_label.1,factor,funding_source_label.1
reserved_name_for_field_list_labels_166.1,factor,reserved_name_for_field_list_labels_166.1
level_other_sources_please_sp.1,factor,level_other_sources_please_sp.1
level_funding_source_label.1,factor,level_funding_source_label.1
funding_source_name.2,factor,funding_source_name.2
funding_source_label.2,factor,funding_source_label.2
reserved_name_for_field_list_labels_166.2,factor,reserved_name_for_field_list_labels_166.2
level_other_sources_please_sp.2,factor,level_other_sources_please_sp.2
level_funding_source_label.2,factor,level_funding_source_label.2
when_was_the_last_time_a_superv,factor,when_was_the_last_time_a_superv
how_many_times_in_the_last_3_mo,factor,how_many_times_in_the_last_3_mo
reserved_name_for_field_list_labels_174,factor,reserved_name_for_field_list_labels_174
use_a_checklist,factor,Use a checklist?
have_any_discussions_with_any_p,factor,Have any discussions with any providers of health services?
observe_outpatient_consultation,factor,Observe outpatient consultations?
management_or_service_problems_,factor,Management or service problems the facility is encountering?
service_quality_such_as_guideli,factor,"Service quality such as guidelines and protocols, patient care issues?"
staff_availability_or_training,factor,Staff availability or training?
special_activities_that_is_comi,factor,Special activities that is coming up?
medicine_stocks_records_storage,factor,"Medicine stocks, records, storage conditions"
financial_records,factor, Financial records
data_e_g_completeness_quality_a,factor," Data (e.g. completeness, quality, and timely reporting)"
specify_any_other_administrativ,character,Specify any other administrative records
during_the_most_recent_visit_di,factor,"During the most recent visit, did the supervisor do or discuss or check"
is_there_any_documentation_from,factor, Is there any documentation from supervisory visits during the past 3 months?
ask_to_see_documentation,factor,ASK TO SEE DOCUMENTATION
reserved_name_for_field_list_labels_193,factor,reserved_name_for_field_list_labels_193
supervisory_checklist_was_left_,factor,Supervisory checklist was left with facility
s_item_related_to_facility_manage,factor,"Item related to facility management such as  finance, staff, resources, infrastructure, HMIS data areports, management records, general facility activities) are recorded"
s_item_related_to_specific_servic,factor,"Item related to specific service(s) or topics relevant to quality of care (resources specific to a service, observation of provider practice, discussion of case management, adherence to guidelines, indicators for quality)"
does_this_facility_routinely_ca,factor,Does this facility routinely carry out quality assurance activities for any service areas? (e.g SOP)
is_this_system_implemented_thro,factor,Is this system implemented throughout the facility or only in specific services?
does_this_facility_systematical,factor,"Does this facility systematically practice any other type of continuous quality improvement?  This refers to a systematic process of identifying and addressing, such as COPE <sup>1</sup> ?"
is_this_for_a_specific_service_,factor,Is this for a specific service or across service sites in the facility
is_there_any_documentation_of_t,factor,Is there any documentation of the continuous quality improvement activities?
may_i_see_documentation,factor,May I see documentation?
excluding_any_delivery_beds_doe,factor,"Excluding any delivery beds, does the facility have any overnight/inpatient beds both for adults and children?"
excluding_any_delivery_beds_how,numeric,"Excluding any delivery beds, how many overnight/inpatient beds in total does this facility have, both for adults and children?"
take_a_picture_of_the_inpatient,Image,Take a picture of the inpatient ward showing the inpatient beds
of_the_overnight_inpatient_beds,numeric,"Of the overnight/inpatient beds in this facility, how many are dedicated maternity beds?"
medical_officer,factor,medical_officer
dental_officer,factor,dental_officer
specialists_consultants,factor,specialists_consultants
nurse,factor,nurse
midwife,factor,midwife
nurse_midwife,factor,nurse_midwife
pharmacist,factor,pharmacist
pharmacist_technician,factor,pharmacist_technician
medical_laboratory_scientist,factor,medical_laboratory_scientist
medical_laboratory_technician,factor,medical_laboratory_technician
community_health_officer,factor,community_health_officer
community_health_extension_work,factor,community_health_extension_work
junior_community_health_extensi,factor,junior_community_health_extensi
other_health_professional_or_te,factor,other_health_professional_or_te
all_other_non_technical_staff,factor,all_other_non_technical_staff
health_professional_count,factor,health_professional_count
staff_position,factor,staff_position
staff_profession,factor,staff_profession
a_official_authorized_allocated,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.1,factor,staff_position.1
staff_profession.1,factor,staff_profession.1
a_official_authorized_allocated.1,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.1,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.1,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.1,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.1,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.2,factor,staff_position.2
staff_profession.2,factor,staff_profession.2
a_official_authorized_allocated.2,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.2,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.2,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.2,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.2,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.3,factor,staff_position.3
staff_profession.3,factor,staff_profession.3
a_official_authorized_allocated.3,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.3,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.3,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.3,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.3,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.4,factor,staff_position.4
staff_profession.4,factor,staff_profession.4
a_official_authorized_allocated.4,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.4,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.4,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.4,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.4,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.5,factor,staff_position.5
staff_profession.5,factor,staff_profession.5
a_official_authorized_allocated.5,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.5,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.5,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.5,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.5,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.6,factor,staff_position.6
staff_profession.6,factor,staff_profession.6
a_official_authorized_allocated.6,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.6,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.6,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.6,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.6,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.7,factor,staff_position.7
staff_profession.7,factor,staff_profession.7
a_official_authorized_allocated.7,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.7,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.7,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.7,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.7,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.8,factor,staff_position.8
staff_profession.8,factor,staff_profession.8
a_official_authorized_allocated.8,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.8,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.8,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.8,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.8,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.9,factor,staff_position.9
staff_profession.9,factor,staff_profession.9
a_official_authorized_allocated.9,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.9,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.9,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.9,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.9,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.10,factor,staff_position.10
staff_profession.10,factor,staff_profession.10
a_official_authorized_allocated.10,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.10,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.10,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.10,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.10,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.11,factor,staff_position.11
staff_profession.11,factor,staff_profession.11
a_official_authorized_allocated.11,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.11,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.11,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.11,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.11,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.12,factor,staff_position.12
staff_profession.12,factor,staff_profession.12
a_official_authorized_allocated.12,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.12,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.12,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.12,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.12,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.13,factor,staff_position.13
staff_profession.13,factor,staff_profession.13
a_official_authorized_allocated.13,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.13,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.13,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.13,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.13,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
staff_position.14,factor,staff_position.14
staff_profession.14,factor,staff_profession.14
a_official_authorized_allocated.14,numeric,OFFICIAL AUTHORIZED/ALLOCATED NUMBERS OF STAFF FOR ${staff_profession}
b_total_staff_profession_pos.14,numeric,TOTAL ${staff_profession} POSITIONS VACANT FOR MORE THAN 6 MONTHS IN THE PAST 12 MONTHS
c_total_staff_profession_ass.14,numeric,"TOTAL ${staff_profession} ASSIGNED, EMPLOYED SECONDED (INCLUDING PART TIME EMPLOYEES)"
d_total_part_time_from_among_th.14,numeric,"TOTAL PART-TIME ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
e_total_casual_contracted_staff.14,numeric,"TOTAL CASUAL/CONTRACTED ${staff_profession} (FROM AMONG THOSE ASSIGNED, EMPLOYED SECONDED AS SPECIFIED IN C ABOVE)"
lga,factor,lga
state,factor,state
ngo_donor,factor,ngo_donor
facility,factor,facility
other.1,factor,other.1
number_of_staff_count,factor,number_of_staff_count
fund_source_name,factor,fund_source_name
fund_source_label,factor,fund_source_label
a_number_of_casual_staff_from_f,numeric, NUMBER OF CASUAL STAFF from funding source - ${fund_source_label}
b_number_of_contracted_staff_fr,numeric,NUMBER OF CONTRACTED STAFF from funding source - ${fund_source_label}
fund_source_name.1,factor,fund_source_name.1
fund_source_label.1,factor,fund_source_label.1
a_number_of_casual_staff_from_f.1,numeric, NUMBER OF CASUAL STAFF from funding source - ${fund_source_label}
b_number_of_contracted_staff_fr.1,numeric,NUMBER OF CONTRACTED STAFF from funding source - ${fund_source_label}
extract_current_year,factor,extract_current_year
s_does_this_facility_have_a_means,factor,Does this facility have a means for communicating outside the facility such as a functional phone or radio that are supported by the facility?
s_does_this_facility_have_a_funct,factor,Does this facility have a functioning computer?
s_is_there_access_to_email_or_int,factor,Is there access to email or internet within the facility today?
s_is_the_connecting_time_for_the_,factor,Is the connecting time for the internet paid or reimbursed by the management?
s_does_your_facility_have_electri,factor,"Does your facility have electricity from any source such as electricity grid, generator, solar, or other, including for stand-alone devices such as those used to maintain the EPI cold chain?"
s_what_is_the_facilitys_main_sou,factor,What is the facility’s main source of power?
s_other_source_of_facilitys_main_,character,Other source of facility's main source of power
s_other_than_the_main_or_primary_,factor,"Other than the main or primary source, does the facility have a secondary or backup source of electricity?"
s_what_is_the_secondary_source_of,factor,What is the secondary source of power?
s_other_source_of_electricity,character,Other source of power
s_in_the_last_7_days_was_electric,factor,"In the last 7 days, was electricity available __at all times__ from the main or any backup source when the facility was open for services?"
s_what_is_the_most_commonly_used_,factor,What is the most commonly used source of water for the general facility use at this time?
wat_sou_name,factor,calculate source of water 
s_a_what_is_the_average_walking_t,factor,What is the average walking time to and from the main source of water (${wat_sou_name})? (including waiting time)
in_the_last_2_weeks_do_you_know,factor,"In the last 2 weeks, Do you know the number of days the water supply from this source (${wat_sou_name}) was interrupted for more than two hours at a time?"
s_b_in_the_last_2_weeks_how_many_,numeric,"In the last 2 weeks, how many days was the water supply from this source (${wat_sou_name}) interrupted for more than two hours at a time?"
s_c_is_there_a_seasonal_differenc,factor,Is there a seasonal difference in water availability? (applicable in this source (${wat_sou_name})
s_d_during_other_seasons_is_the_w,factor,"During other seasons is the water more available, less available, or not available? (applicable in this ${wat_sou_name})"
s_is_water_available_from_this_so,factor,Is water available from this source (${wat_sou_name}) on facility premises?
s_may_i_see_water_from_this_sourc,factor,May I see water from this source (${wat_sou_name}) that is available today?
s_ask_to_see_the_place_used_by_th,factor," ASK TO SEE THE PLACE USED BY THE FACILITY FOR DISPOSAL OF MEDICAL WASTE AND INDICATE THE CONDITION OBSERVED.  IF MEDICAL WASTE IS DISPOSED OFFSITE, OBSERVE THE SITE WHERE WASTE IS STORED PRIOR TO COLLECTION FOR OFFSITE DISPOSAL."
please_take_a_picture_of_the_pl,Image,Please take a picture of the place used by the facility for disposal of sharps waste and indicate the condition observed
