"","x"
"136","reserved_name_for_field_list_labels_166"
"137","level_other_sources_please_sp"
"138","level_funding_source_label"
"139","funding_source_name.1"
"140","funding_source_label.1"
"141","reserved_name_for_field_list_labels_166.1"
"142","level_other_sources_please_sp.1"
"143","level_funding_source_label.1"
"144","funding_source_name.2"
"145","funding_source_label.2"
"146","reserved_name_for_field_list_labels_166.2"
"147","level_other_sources_please_sp.2"
"148","level_funding_source_label.2"
"149","when_was_the_last_time_a_superv"
"150","how_many_times_in_the_last_3_mo"
"151","reserved_name_for_field_list_labels_174"
"152","use_a_checklist"
"153","have_any_discussions_with_any_p"
"154","observe_outpatient_consultation"
"155","management_or_service_problems_"
"156","service_quality_such_as_guideli"
"157","staff_availability_or_training"
"158","special_activities_that_is_comi"
"159","medicine_stocks_records_storage"
"160","financial_records"
"161","data_e_g_completeness_quality_a"
"162","specify_any_other_administrativ"
"163","during_the_most_recent_visit_di"
"164","is_there_any_documentation_from"
"165","ask_to_see_documentation"
"166","reserved_name_for_field_list_labels_193"
"167","supervisory_checklist_was_left_"
"168","s_item_related_to_facility_manage"
"169","s_item_related_to_specific_servic"
"170","does_this_facility_routinely_ca"
"171","is_this_system_implemented_thro"
"172","does_this_facility_systematical"
"173","is_this_for_a_specific_service_"
"174","is_there_any_documentation_of_t"
"175","may_i_see_documentation"
"176","excluding_any_delivery_beds_doe"
"177","excluding_any_delivery_beds_how"
"178","take_a_picture_of_the_inpatient"
"179","of_the_overnight_inpatient_beds"
"180","medical_officer"
"181","dental_officer"
"182","specialists_consultants"
"183","nurse"
"184","midwife"
"185","nurse_midwife"
"186","pharmacist"
"187","pharmacist_technician"
"188","medical_laboratory_scientist"
"189","medical_laboratory_technician"
"190","community_health_officer"
"191","community_health_extension_work"
"192","junior_community_health_extensi"
"193","other_health_professional_or_te"
"194","all_other_non_technical_staff"
"195","health_professional_count"
"196","staff_position"
"197","staff_profession"
"198","a_official_authorized_allocated"
"199","b_total_staff_profession_pos"
"200","c_total_staff_profession_ass"
"201","d_total_part_time_from_among_th"
"202","e_total_casual_contracted_staff"
"203","staff_position.1"
"204","staff_profession.1"
"205","a_official_authorized_allocated.1"
"206","b_total_staff_profession_pos.1"
"207","c_total_staff_profession_ass.1"
"208","d_total_part_time_from_among_th.1"
"209","e_total_casual_contracted_staff.1"
"210","staff_position.2"
"211","staff_profession.2"
"212","a_official_authorized_allocated.2"
"213","b_total_staff_profession_pos.2"
"214","c_total_staff_profession_ass.2"
"215","d_total_part_time_from_among_th.2"
"216","e_total_casual_contracted_staff.2"
"217","staff_position.3"
"218","staff_profession.3"
"219","a_official_authorized_allocated.3"
"220","b_total_staff_profession_pos.3"
"221","c_total_staff_profession_ass.3"
"222","d_total_part_time_from_among_th.3"
"223","e_total_casual_contracted_staff.3"
"224","staff_position.4"
"225","staff_profession.4"
"226","a_official_authorized_allocated.4"
"227","b_total_staff_profession_pos.4"
"228","c_total_staff_profession_ass.4"
"229","d_total_part_time_from_among_th.4"
"230","e_total_casual_contracted_staff.4"
"231","staff_position.5"
"232","staff_profession.5"
"233","a_official_authorized_allocated.5"
"234","b_total_staff_profession_pos.5"
"235","c_total_staff_profession_ass.5"
"236","d_total_part_time_from_among_th.5"
"237","e_total_casual_contracted_staff.5"
"238","staff_position.6"
"239","staff_profession.6"
"240","a_official_authorized_allocated.6"
"241","b_total_staff_profession_pos.6"
"242","c_total_staff_profession_ass.6"
"243","d_total_part_time_from_among_th.6"
"244","e_total_casual_contracted_staff.6"
"245","staff_position.7"
"246","staff_profession.7"
"247","a_official_authorized_allocated.7"
"248","b_total_staff_profession_pos.7"
"249","c_total_staff_profession_ass.7"
"250","d_total_part_time_from_among_th.7"
"251","e_total_casual_contracted_staff.7"
"252","staff_position.8"
"253","staff_profession.8"
"254","a_official_authorized_allocated.8"
"255","b_total_staff_profession_pos.8"
"256","c_total_staff_profession_ass.8"
"257","d_total_part_time_from_among_th.8"
"258","e_total_casual_contracted_staff.8"
"259","staff_position.9"
"260","staff_profession.9"
"261","a_official_authorized_allocated.9"
"262","b_total_staff_profession_pos.9"
"263","c_total_staff_profession_ass.9"
"264","d_total_part_time_from_among_th.9"
"265","e_total_casual_contracted_staff.9"
"266","staff_position.10"
"267","staff_profession.10"
"268","a_official_authorized_allocated.10"
"269","b_total_staff_profession_pos.10"
"270","c_total_staff_profession_ass.10"
"271","d_total_part_time_from_among_th.10"
"272","e_total_casual_contracted_staff.10"
"273","staff_position.11"
"274","staff_profession.11"
"275","a_official_authorized_allocated.11"
"276","b_total_staff_profession_pos.11"
"277","c_total_staff_profession_ass.11"
"278","d_total_part_time_from_among_th.11"
"279","e_total_casual_contracted_staff.11"
"280","staff_position.12"
"281","staff_profession.12"
"282","a_official_authorized_allocated.12"
"283","b_total_staff_profession_pos.12"
"284","c_total_staff_profession_ass.12"
"285","d_total_part_time_from_among_th.12"
"286","e_total_casual_contracted_staff.12"
"287","staff_position.13"
"288","staff_profession.13"
"289","a_official_authorized_allocated.13"
"290","b_total_staff_profession_pos.13"
"291","c_total_staff_profession_ass.13"
"292","d_total_part_time_from_among_th.13"
"293","e_total_casual_contracted_staff.13"
"294","staff_position.14"
"295","staff_profession.14"
"296","a_official_authorized_allocated.14"
"297","b_total_staff_profession_pos.14"
"298","c_total_staff_profession_ass.14"
"299","d_total_part_time_from_among_th.14"
"300","e_total_casual_contracted_staff.14"
"301","lga"
"302","state"
"303","ngo_donor"
"304","facility"
"305","other.1"
"306","number_of_staff_count"
"307","fund_source_name"
"308","fund_source_label"
"309","a_number_of_casual_staff_from_f"
"310","b_number_of_contracted_staff_fr"
"311","fund_source_name.1"
"312","fund_source_label.1"
"313","a_number_of_casual_staff_from_f.1"
"314","b_number_of_contracted_staff_fr.1"
"315","extract_current_year"
"316","s_does_this_facility_have_a_means"
"317","s_does_this_facility_have_a_funct"
"318","s_is_there_access_to_email_or_int"
"319","s_is_the_connecting_time_for_the_"
"320","s_does_your_facility_have_electri"
"321","s_what_is_the_facilitys_main_sou"
"322","s_other_source_of_facilitys_main_"
"323","s_other_than_the_main_or_primary_"
"324","s_what_is_the_secondary_source_of"
"325","s_other_source_of_electricity"
"326","s_in_the_last_7_days_was_electric"
"327","s_what_is_the_most_commonly_used_"
"328","wat_sou_name"
"329","s_a_what_is_the_average_walking_t"
"330","in_the_last_2_weeks_do_you_know"
"331","s_b_in_the_last_2_weeks_how_many_"
"332","s_c_is_there_a_seasonal_differenc"
"333","s_d_during_other_seasons_is_the_w"
"334","s_is_water_available_from_this_so"
"335","s_may_i_see_water_from_this_sourc"
"336","s_ask_to_see_the_place_used_by_th"
"337","please_take_a_picture_of_the_pl"
"338","s_how_does_the_facility_finally_"
"339","s_other_medical_waste_disposal"
"340","s_ask_to_view_the_place_used_by"
"341","pic_med_waste_disposal"
"342","s_is_there_a_functional_incinerat"
"343","s_is_fuel_for_the_incinerator_ava"
"344","s_does_this_facility_have_any_sop"
"345","s_have_you_or_any_provider_s_rece"
"346","s_ask_to_go_to_the_main_location_"
"347","s_specify_location_and_go_there_t"
"348","pic_equip_storage"
"349","notavailable"
"350","available"
"351","functional"
"352","inuse"
"353","notavailable.1"
"354","available.1"
"355","functional.1"
"356","inuse.1"
"357","notavailable.2"
"358","available.2"
"359","functional.2"
"360","inuse.2"
"361","notavailable.3"
"362","available.3"
"363","functional.3"
"364","inuse.3"
"365","notavailable.4"
"366","available.4"
"367","functional.4"
"368","inuse.4"
"369","notavailable.5"
"370","available.5"
"371","functional.5"
"372","inuse.5"
"373","notavailable.6"
"374","available.6"
"375","functional.6"
"376","inuse.6"
"377","notavailable.7"
"378","available.7"
"379","functional.7"
"380","inuse.7"
"381","notavailable.8"
"382","available.8"
"383","functional.8"
"384","inuse.8"
"385","notavailable.9"
"386","available.9"
"387","functional.9"
"388","inuse.9"
"389","s_are_there_any_guidelines_on_fin"
"390","reserved_name_for_field_list_labels_316"
"391","s_ambulance_owned_by_facility"
"392","s_ambulance_available_on_call"
"393","s_official_vehicle_not_an_ambulan"
"394","s_official_vehicle_available_on_c"
"395","s_private_vehicles_not_ambulance_"
"396","s_self_arranged_by_patient"
"397","s_any_other_please_specify"
"398","s_other_specified_arrangement"
"399","do_the_facility_have_a_functio"
"400","take_a_picture_of_the_ambulance"
"401","is_fuel_available_today_for_th"
"402","is_there_a_driver_available_on"
"403","does_this_facility_have_access"
"404","s_interview_end_time_use_the_24_h"
"405","s_result_codes_last_visit"
"406","s_comments_about_the_respondent"
"407","s_comments_on_specific_questions"
"408","s_any_other_comments"
"409","s_supervisors_observations"
"410","s_name_of_supervisor"
"411","s_date_of_observation"
"412","s_does_this_facility_have_any_for"
"413","reserved_name_for_field_list_labels_350"
"414","s_community_engagement"
"415","s_community_sensitization"
"416","s_other_parts_of_linkage"
"417","s_others_specify"
"418","s_does_this_facility_offer_antena"
"419","reserved_name_for_field_list_labels_362"
"420","s_iron_supplementation"
"421","s_folic_acid_supplementation"
"422","s_intermittent_preventive_treatme"
"423","s_tetanus_toxoid_immunization"
"424","s_monitoring_for_hypertensive_dis"
"425","s_hiv_testing"
"426","s_provision_of_arv_for_s_hiv_positi"
"427","s_diagnosis_and_treatment_for_sex"
"428","s_what_is_the_most_common_process"
"429","s_other_process_providing_anc_ser"
"430","reserved_name_for_field_list_labels_375"
"431","s_pcv_test_01"
"432","s_hepatitis_b_test_04"
"433","s_hepatitis_c_test_05"
"434","s_syphilis_test_06"
"435","s_blood_grouping_02"
"436","s_genotype_03"
"437","s_hiv_test_07"
"438","s_urinalysis_08"
"439","reserved_name_for_field_list_labels_386"
"440","s_national_guidelines_and_orienta"
"441","s_any_anc_check_lists"
"442","s_any_anc_job_aids"
"443","s_national_guidelines_for_diagnos"
"444","s_unfilled_individual_client_reco"
"445","notavailable.10"
"446","available.10"
"447","functional.10"
"448","inuse.10"
"449","notavailable.11"
"450","available.11"
"451","functional.11"
"452","inuse.11"
"453","notavailable.12"
"454","available.12"
"455","functional.12"
"456","inuse.12"
"457","notavailable.13"
"458","available.13"
"459","functional.13"
"460","inuse.13"
"461","notavailable.14"
"462","available.14"
"463","functional.14"
"464","inuse.14"
"465","take_a_picture_of_these_items"
"466","s_does_this_facility_have_a_routi"
"467","reserved_name_for_field_list_labels_404"
"468","s_trace_through_phone_calls_text_"
"469","s_trace_through_corps_chips_commu"
"470","s_referral_forms_used_with_art_se"
"471","s_feedback_from_art_services"
"472","s_art_information_recorded_on_mch"
"473","s_unique_id_numbers_with_interlin"
"474","s_other_linkages"
"475","s_specify_s_other_linkages"
"476","s_does_this_facility_provide_pnc_"
"477","reserved_name_for_field_list_labels_418"
"478","s_is_there_a_register_where_pnc_c"
"479","s_are_individual_client_charts_ca"
"480","s_does_this_facility_have_other_c"
"481","s_does_this_facility_provide_any_"
"482","reserved_name_for_field_list_labels_426"
"483","s_are_there_any_post_abortion_car"
"484","s_does_this_facility_have_othr_c"
"485","s_does_this_facility_have_other_j"
"486","s_does_this_facility_offer_delive"
"487","s_delivery_interview_start_time"
"488","s_are_delivery_and_newborn_care_s"
"489","s_does_the_facility_provide_24_ho"
"490","s_is_a_person_skilled_in_conducti"
"491","s_during_the_day_what_is_the_lowe"
"492","specify_other"
"493","s_during_the_day_is_there_always_"
"494","s_during_nights_and_holidays_what"
"495","s_other_night_delivery"
"496","s_during_nights_and_holidays_is_t"
"497","s_does_this_facility_have_a_mater"
"498","s_does_facility_have_delivery"
"499","take_a_picture_of_the_delivery"
"500","reserved_name_for_field_list_labels_457"
"501","s_national_guidelines_for_integra"
"502","s_other_national_guidelines_for_e"
"503","s_guidelines_for_safe_birth_pract"
"504","s_any_other_job_aids_for_integrat"
"505","s_any_check_lists_for_safe_birth_"
"506","s_any_job_aids_for_safe_birth_pra"
"507","s_have_you_or_any_provider_s_of_d"
"508","s_have_u_or_any_provider_s"
"509","reserved_name_for_field_list_labels_470"
"510","s_active_management_of_third_stag"
"511","s_administration_of_misoprostol_i"
"512","s_monitor_and_manage_labour_using"
"513","reserved_name_for_field_list_labels_476"
"514","s_hygienic_cord_care_cut_with_ste"
"515","s_thermal_protection_drying_baby_"
"516","s_immediate_skin_to_skin_contact"
"517","s_delayed_cord_clamping"
"518","s_initiate_breast_feeding_within_"
"519","reserved_name_for_field_list_labels_486"
"520","s_parenteral_administration_of_an"
"521","s_parenteral_administration_of_ox"
"522","s_parenteral_administration_of_ma"
"523","s_assisted_vaginal_delivery"
"524","s_manual_removal_of_placenta"
"525","s_removal_of_retained_products_of"
"526","s_neonatal_resuscitation_with_bag"
"527","s_caesarean_section"
"528","s_does_this_facility_provide_bloo"
"529","s_does_this_facility_routinely_pr"
"530","s_has_this_service_been_provided_"
"531","s_corticosteroids"
"532","s_past_months"
"533","s_pmtct_services"
"534","reserved_name_for_field_list_labels_503"
"535","assess_maternal_s_hiv_status"
"536","provide_s_hiv_counselling_and_tes"
"537","provide_maternal_arv_to_infecte"
"538","provide_arv_to_newborns_of_infe"
"539","s_has_there_been_a_delivery_for_a"
"540","reserved_name_for_field_list_labels_514"
"541","s_clean_running_water_piped_buc"
"542","calc_WaterRecept"
"543","hand_washing_liquid_soap"
"544","alcohol_based_hand_rub"
"545","waste_receptacle_bin_with_lid_a"
"546","waste_bin_is_clearly_marked_for"
"547","sharps_container_safety_box"
"548","environmental_disinfectant_e_g_"
"549","disposable_syringes_with_dispos"
"550","auto_disable_syringes"
"551","take_picture_of_water_receptacl"
"552","s_is_there_electricity_in_this_se"
"553","unfilled_partograph"
"554","delivery_bed"
"555","disposable_sterile_latex_glove"
"556","examination_light"
"557","delivery_pack"
"558","cord_clamp"
"559","episiotomy_scissors"
"560","scissors_or_surgical_blade_to"
"561","suture_materials_with_needle"
"562","needle_holder"
"563","manual_vacuum_extractor"
"564","vacuum_aspirator"
"565","c_kit"
"566","speculum"
"567","blood_pressure_apparatus"
"568","fetal_stethoscope"
"569","wrap_for_drying_newborn"
"570","infant_scale_with_100_gram_gra"
"571","incubator_may_be_in_nursery"
"572","resuscitation_table_with_heat"
"573","electric_or_manual_suction_pum"
"574","suction_catheter_for_suction_a"
"575","suction_bulb_single_use"
"576","suction_bulb_sterilizable_mult"
"577","thermometer"
"578","self_inflating_bag_and_mask_fo"
"579","newborn_bag_and_mask_size_0_fo"
"580","newborn_bag_and_mask_size_1_fo"
"581","s_repeat_starts_count"
"582","s_current_equipment_name"
"583","s_current_equipment_label"
"584","s_group_starts.s_what_is_the_status_of_current"
"585","s_group_starts.CalcCurrEquipStat"
"586","s_group_starts.take_a_picture_of_s_current_equ"
"587","s_what_is_the_functional_status"
"588","s_current_equipment_name.1"
"589","s_current_equipment_label.1"
"590","s_group_starts.s_what_is_the_status_of_current.1"
"591","s_group_starts.CalcCurrEquipStat.1"
"592","s_group_starts.take_a_picture_of_s_current_equ.1"
"593","s_what_is_the_functional_status.1"
"594","s_current_equipment_name.2"
"595","s_current_equipment_label.2"
"596","s_group_starts.s_what_is_the_status_of_current.2"
"597","s_group_starts.CalcCurrEquipStat.2"
"598","s_group_starts.take_a_picture_of_s_current_equ.2"
"599","s_what_is_the_functional_status.2"
"600","s_current_equipment_name.3"
"601","s_current_equipment_label.3"
"602","s_group_starts.s_what_is_the_status_of_current.3"
"603","s_group_starts.CalcCurrEquipStat.3"
"604","s_group_starts.take_a_picture_of_s_current_equ.3"
"605","s_what_is_the_functional_status.3"
"606","s_current_equipment_name.4"
"607","s_current_equipment_label.4"
"608","s_group_starts.s_what_is_the_status_of_current.4"
"609","s_group_starts.CalcCurrEquipStat.4"
"610","s_group_starts.take_a_picture_of_s_current_equ.4"
"611","s_what_is_the_functional_status.4"
"612","s_current_equipment_name.5"
"613","s_current_equipment_label.5"
"614","s_group_starts.s_what_is_the_status_of_current.5"
"615","s_group_starts.CalcCurrEquipStat.5"
"616","s_group_starts.take_a_picture_of_s_current_equ.5"
"617","s_what_is_the_functional_status.5"
"618","s_current_equipment_name.6"
"619","s_current_equipment_label.6"
"620","s_group_starts.s_what_is_the_status_of_current.6"
"621","s_group_starts.CalcCurrEquipStat.6"
"622","s_group_starts.take_a_picture_of_s_current_equ.6"
"623","s_what_is_the_functional_status.6"
"624","s_current_equipment_name.7"
"625","s_current_equipment_label.7"
"626","s_group_starts.s_what_is_the_status_of_current.7"
"627","s_group_starts.CalcCurrEquipStat.7"
"628","s_group_starts.take_a_picture_of_s_current_equ.7"
"629","s_what_is_the_functional_status.7"
"630","s_current_equipment_name.8"
"631","s_current_equipment_label.8"
"632","s_group_starts.s_what_is_the_status_of_current.8"
"633","s_group_starts.CalcCurrEquipStat.8"
"634","s_group_starts.take_a_picture_of_s_current_equ.8"
"635","s_what_is_the_functional_status.8"
"636","s_current_equipment_name.9"
"637","s_current_equipment_label.9"
"638","s_group_starts.s_what_is_the_status_of_current.9"
"639","s_group_starts.CalcCurrEquipStat.9"
"640","s_group_starts.take_a_picture_of_s_current_equ.9"
"641","s_what_is_the_functional_status.9"
"642","s_current_equipment_name.10"
"643","s_current_equipment_label.10"
"644","s_group_starts.s_what_is_the_status_of_current.10"
"645","s_group_starts.CalcCurrEquipStat.10"
"646","s_group_starts.take_a_picture_of_s_current_equ.10"
"647","s_what_is_the_functional_status.10"
"648","s_current_equipment_name.11"
"649","s_current_equipment_label.11"
"650","s_group_starts.s_what_is_the_status_of_current.11"
"651","s_group_starts.CalcCurrEquipStat.11"
"652","s_group_starts.take_a_picture_of_s_current_equ.11"
"653","s_what_is_the_functional_status.11"
"654","s_current_equipment_name.12"
"655","s_current_equipment_label.12"
"656","s_group_starts.s_what_is_the_status_of_current.12"
"657","s_group_starts.CalcCurrEquipStat.12"
"658","s_group_starts.take_a_picture_of_s_current_equ.12"
"659","s_what_is_the_functional_status.12"
"660","s_current_equipment_name.13"
"661","s_current_equipment_label.13"
"662","s_group_starts.s_what_is_the_status_of_current.13"
"663","s_group_starts.CalcCurrEquipStat.13"
"664","s_group_starts.take_a_picture_of_s_current_equ.13"
"665","s_what_is_the_functional_status.13"
"666","s_current_equipment_name.14"
"667","s_current_equipment_label.14"
"668","s_group_starts.s_what_is_the_status_of_current.14"
"669","s_group_starts.CalcCurrEquipStat.14"
"670","s_group_starts.take_a_picture_of_s_current_equ.14"
"671","s_what_is_the_functional_status.14"
"672","s_current_equipment_name.15"
"673","s_current_equipment_label.15"
"674","s_group_starts.s_what_is_the_status_of_current.15"
"675","s_group_starts.CalcCurrEquipStat.15"
"676","s_group_starts.take_a_picture_of_s_current_equ.15"
"677","s_what_is_the_functional_status.15"
"678","s_current_equipment_name.16"
"679","s_current_equipment_label.16"
"680","s_group_starts.s_what_is_the_status_of_current.16"
"681","s_group_starts.CalcCurrEquipStat.16"
"682","s_group_starts.take_a_picture_of_s_current_equ.16"
"683","s_what_is_the_functional_status.16"
"684","s_current_equipment_name.17"
"685","s_current_equipment_label.17"
"686","s_group_starts.s_what_is_the_status_of_current.17"
"687","s_group_starts.CalcCurrEquipStat.17"
"688","s_group_starts.take_a_picture_of_s_current_equ.17"
"689","s_what_is_the_functional_status.17"
"690","s_current_equipment_name.18"
"691","s_current_equipment_label.18"
"692","s_group_starts.s_what_is_the_status_of_current.18"
"693","s_group_starts.CalcCurrEquipStat.18"
"694","s_group_starts.take_a_picture_of_s_current_equ.18"
"695","s_what_is_the_functional_status.18"
"696","s_current_equipment_name.19"
"697","s_current_equipment_label.19"
"698","s_group_starts.s_what_is_the_status_of_current.19"
"699","s_group_starts.CalcCurrEquipStat.19"
"700","s_group_starts.take_a_picture_of_s_current_equ.19"
"701","s_what_is_the_functional_status.19"
"702","s_current_equipment_name.20"
"703","s_current_equipment_label.20"
"704","s_group_starts.s_what_is_the_status_of_current.20"
"705","s_group_starts.CalcCurrEquipStat.20"
"706","s_group_starts.take_a_picture_of_s_current_equ.20"
"707","s_what_is_the_functional_status.20"
"708","s_current_equipment_name.21"
"709","s_current_equipment_label.21"
"710","s_group_starts.s_what_is_the_status_of_current.21"
"711","s_group_starts.CalcCurrEquipStat.21"
"712","s_group_starts.take_a_picture_of_s_current_equ.21"
"713","s_what_is_the_functional_status.21"
"714","s_current_equipment_name.22"
"715","s_current_equipment_label.22"
"716","s_group_starts.s_what_is_the_status_of_current.22"
"717","s_group_starts.CalcCurrEquipStat.22"
"718","s_group_starts.take_a_picture_of_s_current_equ.22"
"719","s_what_is_the_functional_status.22"
"720","s_current_equipment_name.23"
"721","s_current_equipment_label.23"
"722","s_group_starts.s_what_is_the_status_of_current.23"
"723","s_group_starts.CalcCurrEquipStat.23"
"724","s_group_starts.take_a_picture_of_s_current_equ.23"
"725","s_what_is_the_functional_status.23"
"726","s_current_equipment_name.24"
"727","s_current_equipment_label.24"
"728","s_group_starts.s_what_is_the_status_of_current.24"
"729","s_group_starts.CalcCurrEquipStat.24"
"730","s_group_starts.take_a_picture_of_s_current_equ.24"
"731","s_what_is_the_functional_status.24"
"732","s_current_equipment_name.25"
"733","s_current_equipment_label.25"
"734","s_group_starts.s_what_is_the_status_of_current.25"
"735","s_group_starts.CalcCurrEquipStat.25"
"736","s_group_starts.take_a_picture_of_s_current_equ.25"
"737","s_what_is_the_functional_status.25"
"738","s_current_equipment_name.26"
"739","s_current_equipment_label.26"
"740","s_group_starts.s_what_is_the_status_of_current.26"
"741","s_group_starts.CalcCurrEquipStat.26"
"742","s_group_starts.take_a_picture_of_s_current_equ.26"
"743","s_what_is_the_functional_status.26"
"744","s_current_equipment_name.27"
"745","s_current_equipment_label.27"
"746","s_group_starts.s_what_is_the_status_of_current.27"
"747","s_group_starts.CalcCurrEquipStat.27"
"748","s_group_starts.take_a_picture_of_s_current_equ.27"
"749","s_what_is_the_functional_status.27"
"750","s_what_is_the_status_of_current"
"751","CalcCurrEquipStat"
"752","take_a_picture_of_s_current_equ"
"753","at_any_time_during_the_past_3"
"754","now_i_would_like_to_know_about"
"755","is_there_any_oxygen_currently"
"756","flowmeter_for_oxygen_therapy_wi"
"757","oxygen_delivery_apparatus_key_c"
"758","oxygen_analyzer"
"759","pulse_oxymeter"
"760","available_in_emergency_service_count"
"761","general_equipment_name"
"762","general_equipment_label"
"763","is_general_equipment_label_avai"
"764","CalcGenEquipAvail"
"765","group_4503.take_a_picture_of"
"766","group_4503.is_general_equipment_label_func"
"767","general_equipment_name.1"
"768","general_equipment_label.1"
"769","is_general_equipment_label_avai.1"
"770","CalcGenEquipAvail.1"
"771","group_4503.take_a_picture_of.1"
"772","group_4503.is_general_equipment_label_func.1"
"773","general_equipment_name.2"
"774","general_equipment_label.2"
"775","is_general_equipment_label_avai.2"
"776","CalcGenEquipAvail.2"
"777","group_4503.take_a_picture_of.2"
"778","group_4503.is_general_equipment_label_func.2"
"779","general_equipment_name.3"
"780","general_equipment_label.3"
"781","is_general_equipment_label_avai.3"
"782","CalcGenEquipAvail.3"
"783","group_4503.take_a_picture_of.3"
"784","group_4503.is_general_equipment_label_func.3"
"785","take_a_picture_of"
"786","is_general_equipment_label_func"
"787","was_there_any_time_in_the_last"
"788","does_this_facility_stock_any_d"
"789","pic_medicine_storage"
"790","antibiotic_eye_ointment_erythro"
"791","hydralazine_injection"
"792","labetalol_inj_200mg_ampoule"
"793","magnesium_sulphate_injection"
"794","intravenous_infusion_set"
"795","iv_cannula"
"796","d5w_intra"
"797","sodium_chloride_09ns_intravenou"
"798","skin_disinfectant"
"799","X_chlorhexidine_solution_for_um"
"800","oxytocin_injection"
"801","availability_of_medicines_count"
"802","medine_name"
"803","medicine_label"
"804","med_availability.what_is_the_availability_status"
"805","med_availability.CalcMedAvail"
"806","med_availability.snap_a_picture_of_medicine_labe"
"807","is_any_stockout_in_the_last_3_m"
"808","medine_name.1"
"809","medicine_label.1"
"810","med_availability.what_is_the_availability_status.1"
